site,lon,lat,aod,ae
XuZhou-CUMT,117.14,34.22,0.9340,1.2186
Aubiere_LAMP,3.11,45.76,0.1133,1.3646
Trelew,-65.31,-43.25,0.0410,0.8026
Mauna_Loa,-155.58,19.54,0.0198,1.1443
Dhabi,54.38,24.48,0.4301,0.7122
IMS-METU-ERDEMLI,34.26,36.56,0.2457,1.2256
ND_Marbel_Univ,124.84,6.50,0.1865,1.3394
CEILAP-Comodoro,-67.46,-45.79,0.0332,0.8436
Georgia_Tech,-84.40,33.78,0.1550,1.5005
Sioux_Falls,-96.63,43.74,0.1375,1.2936
TABLE_MOUNTAIN_CA,-117.68,34.38,0.0449,1.0687
QOMS_CAS,86.95,28.36,0.0449,0.9801
CUIABA-MIRANDA,-56.07,-15.73,0.1719,1.3126
FORTH_CRETE,25.28,35.33,0.1914,1.1162
Guadeloup,-61.53,16.22,0.1482,0.3433
Bujumbura,29.38,-3.38,0.4878,1.4144
ATHENS-NOA,23.72,37.97,0.1979,1.3663
SEARCH-OLF,-87.38,30.55,0.1378,1.3797
CalTech,-118.13,34.14,0.1317,1.1348
Midway_Island,-177.38,28.21,0.1019,0.5573
Frioul,5.29,43.27,0.1084,1.2279
OHP_OBSERVATOIRE,5.71,43.94,0.0964,1.3423
